Business Type,NAICS Code,NAICS Description,ChatGPT Regulation Type,Claude Regulation Type,Gemini Regulation Type,Grok Regulation Type
"ChatGPT: ""Smart-grid/energy management software firms | Credit/loan underwriting software providers | Vendors building welfare eligibility AI | Platforms designing & deploying subsidy verification systems"" Claude: ""Applicant Tracking System (ATS) providers | HR software companies | Performance management platforms | Scheduling software providers | Online proctoring services | Plagiarism detection software | Learning management systems with AI | Adaptive learning platforms | Student information systems | Rental screening platforms | Property management software | Real estate appraisal software | EHR providers with AI | Telemedicine platforms with AI | Health insurance software providers | Mental health apps with AI | InsureTech companies | Risk assessment software providers | Case management systems with AI | Legal research platforms with AI | Contract analysis software | Online dispute resolution platforms | Legal practice management software | Government software providers | Fraud detection systems for benefits | Automated benefits calculation software | Voter registration software providers | Redistricting software companies | Election information platforms""",541511,Custom Computer Programming Services,Developer | Developer | Developer | Both,Developer | Developer | Developer | Developer | Developer | Developer | Developer | Developer | Developer | Developer | Developer | Developer | Developer | Developer | Developer | Developer | Developer | Developer | Developer | Developer | Developer | Developer | Developer | Developer | Developer | Developer | Developer | Developer | Developer,,
"ChatGPT: ""Workforce management software firms (Workday, ADP) | Vendors building welfare eligibility AI | Contractors both designing & operating benefit systems"" Grok: ""Criminal Justice Tech Vendors (e.g., Palantir)""",541512,Computer Systems Design Services,Both | Developer | Both,,,Developer rules
"ChatGPT: ""Voter eligibility / redistricting software vendors""",541611,Administrative Management Consulting,Developer,,,
"ChatGPT: ""Child welfare risk assessment vendors | AI diagnostic firms (radiology AI, triage tools) | Pretrial risk assessment tool vendors"" Claude: ""Medical AI companies""",541715,"R&D in the Physical, Engineering, and Life Sciences (except Nanotechnology & Biotechnology)",Developer | Developer | Developer,Developer,,
"Claude: ""Political consulting firms""",541820,Public Relations Agencies,,Deployer,,
"Claude: ""Large corporations using AI for hiring""",551114,"Corporate, Subsidiary, and Regional Managing Offices",,Deployer,,
"ChatGPT: ""Private prison contractors with AI monitoring""",561210,Facilities Support Services,Both,,,
"ChatGPT: ""Large employers using AI hiring/scheduling tools"" Claude: ""Staffing agencies using automated screening"" Gemini: ""Recruiting & Staffing Agencies"" Grok: ""Recruitment Agencies (e.g., Robert Half or Adecco)""",561311,Employment Placement Agencies,Deployer,Deployer,Deployer,Both
"ChatGPT: ""Large employers using AI hiring/scheduling tools""",561320,Temporary Help Services,Deployer,,,
"ChatGPT: ""Large employers using AI hiring/scheduling tools""",561330,Professional Employer Organizations,Deployer,,,
"Claude: ""Call centers using AI monitoring""",561422,Telemarketing Bureaus and Other Contact Centers,,Deployer,,
"Claude: ""Credit scoring companies"" Grok: ""Credit Reporting Agencies (e.g., Equifax or TransUnion)""",561450,Credit Bureaus,,Developer,,Developer rules
"Claude: ""Short-term rental platforms (Airbnb)""",561599,All Other Travel Arrangement and Reservation Services,,Both,,
"Claude: ""Electronic monitoring companies""",561612,Security Guards and Patrol Services,,Developer,,
"Claude: ""Municipal waste services""",562111,Solid Waste Collection,,Deployer,,
"ChatGPT: ""Universities and schools using AI in admissions/proctoring"" Claude: ""K-12 school districts using AI""",611110,Elementary & Secondary Schools,Deployer,Deployer,,
"ChatGPT: ""Universities and schools using AI in admissions/proctoring"" Claude: ""Universities and colleges using AI"" Gemini: ""Colleges & Universities""",611310,"Colleges, Universities, and Professional Schools",Deployer,Deployer,Deployer,
"Grok: ""Vocational Training Platforms (e.g., LinkedIn Learning or Udacity)""",611430,,,,,Both
"Claude: ""Vocational training schools""",611519,Other Technical and Trade Schools,,Deployer,,
"ChatGPT: ""EdTech companies (AI grading, proctoring, plagiarism detection)""",611699,All Other Miscellaneous Schools & Instruction,Developer,,,
"ChatGPT: ""Certification/testing companies (ETS, Pearson VUE)"" Grok: ""EdTech Companies (e.g., Coursera or Duolingo)""",611710,Educational Support Services,Both,,,Both
"ChatGPT: ""Fertility/IVF clinics with AI systems"" Claude: ""Fertility clinics""",621111,Offices of Physicians,Both,Deployer,,
"Grok: ""Dental and Vision Care Providers (e.g., Aspen Dental)""",621210,,,,,Deployer rules
"Grok: ""Mental Health Apps (e.g., BetterHelp or Headspace)""",621330,,,,,Both
"ChatGPT: ""Fertility/IVF clinics with AI systems"" Claude: ""Family planning organizations"" Grok: ""Reproductive Health Clinics (e.g., Planned Parenthood affiliates)""",621410,Family Planning Centers,Both,Deployer,,Deployer rules
"Claude: ""Telehealth companies""",621610,Home Health Care Services,,Both,,
"Grok: ""Telemedicine Providers (e.g., Teladoc or Amwell)""",621999,,,,,Both
"ChatGPT: ""Hospitals & insurers using AI for coverage decisions"" Claude: ""Hospitals using AI"" Gemini: ""Hospitals""",622110,General Medical & Surgical Hospitals,Deployer,Deployer,Deployer,
"Grok: ""Child Welfare Service Contractors (e.g., private adoption agencies)""",624110,,,,,Deployer rules
"Claude: ""Adoption agencies""",624190,Other Individual and Family Services,,Deployer,,
"Claude: ""Entertainment venues using AI""",711310,"Promoters of Performing Arts, Sports, and Similar Events",,Deployer,,
"Claude: ""Hotels using AI""",721110,Hotels (except Casino Hotels) and Motels,,Deployer,,
"ChatGPT: ""Short-term rental platforms (Airbnb, Vrbo)"" Grok: ""Hotel and Lodging Platforms (e.g., Airbnb or Booking.com)""",721199,All Other Traveler Accommodation,Both,,,Both
"ChatGPT: ""Short-term rental platforms (Airbnb, Vrbo)""",721310,Rooming and Boarding Houses,Both,,,
"Claude: ""Restaurants using AI""",722513,Limited-Service Restaurants,,Deployer,,
"Claude: ""Legal aid organizations""",813311,Human Rights Organizations,,Deployer,,
"ChatGPT: ""Civic tech nonprofits using AI for eligibility/GOTV""",813319,Other Social Advocacy Organizations,Both,,,
"Claude: ""Professional certification bodies""",813920,Professional Organizations,,Deployer,,
"Claude: ""Tax agencies""",921130,Public Finance Activities,,Deployer,,
"Claude: ""Secretary of State offices | County election offices""",921140,Executive and Legislative Offices,,Deployer | Deployer,,
"ChatGPT: ""State election boards using voter management ADS""",921190,Other General Government Support,Deployer,,,
"ChatGPT: ""Courts/probation departments deploying ADS""",922110,Courts,Deployer,,,
"Claude: ""District attorneys' offices""",922120,Police Protection,,Deployer,,
"Claude: ""Courts using AI""",922130,Administration of Justice,,Deployer,,
"ChatGPT: ""Private prison contractors with AI monitoring"" Claude: ""Probation departments""",922140,Correctional Institutions,Both,Deployer,,
"ChatGPT: ""Courts/probation departments deploying ADS""",922150,Parole Offices and Probation Offices,Deployer,,,
"ChatGPT: ""County CPS agencies using ADS tools | Agencies deploying eligibility-screening systems"" Claude: ""Social services departments | Unemployment offices | Child protective services"" Grok: ""Government Benefits Administrators (e.g., Maximus)""",923130,Administration of Human Resource Programs,Deployer | Deployer,Deployer | Deployer | Deployer,,Deployer rules
"Claude: ""Public housing authorities""",925110,Administration of Housing Programs,,Deployer,,
"Claude: ""Immigration services""",928120,International Affairs,,Deployer,,
