NAICS,Business Type,ChatGPT Regulation Type,Claude Regulation Type,Grok Regulation Type,Gemini Regulation Type
511210,"ChatGPT: ""InsurTech developers (Lemonade, Tractable)""",Both,,,
511210,"ChatGPT: ""Credit/loan underwriting software providers""",Developer,,,
511210,"ChatGPT: ""AI legal research/chatbot companies (Casetext, Harvey)""",Developer,,,
511210,"ChatGPT: ""Voter eligibility / redistricting software vendors""",Developer,,,
513210,"Grok: ""Productivity Software Firms (e.g., Microsoft for workplace tools)"" ; Gemini: ""Real Estate Technology Companies""",,,Developer rules,Developer
513210,"Grok: ""HR Software Providers (e.g., Workday or BambooHR)"" ; Gemini: ""Health Technology Companies""",,,Both,Developer
513210,"Grok: ""Productivity Software Firms (e.g., Microsoft for workplace tools)"" ; Gemini: ""Health Technology Companies""",,,Developer rules,Developer
513210,"Grok: ""HR Software Providers (e.g., Workday or BambooHR)"" ; Gemini: ""Real Estate Technology Companies""",,,Both,Developer
513210,"Grok: ""HR Software Providers (e.g., Workday or BambooHR)"" ; Gemini: ""Educational Technology (EdTech)""",,,Both,Developer
513210,"Grok: ""Productivity Software Firms (e.g., Microsoft for workplace tools)"" ; Gemini: ""Educational Technology (EdTech)""",,,Developer rules,Developer
513210,"Grok: ""University Admissions Software Vendors (e.g., Slate)"" ; Gemini: ""HR Technology Companies""",,,Both,Developer
513210,"Grok: ""University Admissions Software Vendors (e.g., Slate)"" ; Gemini: ""Health Technology Companies""",,,Both,Developer
513210,"Grok: ""University Admissions Software Vendors (e.g., Slate)"" ; Gemini: ""Real Estate Technology Companies""",,,Both,Developer
513210,"Grok: ""University Admissions Software Vendors (e.g., Slate)"" ; Gemini: ""Educational Technology (EdTech)""",,,Both,Developer
513210,"Grok: ""HR Software Providers (e.g., Workday or BambooHR)"" ; Gemini: ""HR Technology Companies""",,,Both,Developer
513210,"Grok: ""Productivity Software Firms (e.g., Microsoft for workplace tools)"" ; Gemini: ""HR Technology Companies""",,,Developer rules,Developer
5171,"Gemini: ""Telecom & Internet Providers""",,,,Both
517110,"Claude: ""Telecommunications companies""",,Deployer,,
517112,"ChatGPT: ""Broadband/telecom providers using AI for service eligibility""",Deployer,,,
517121,"ChatGPT: ""Broadband/telecom providers using AI for service eligibility""",Deployer,,,
517311,"Claude: ""Internet service providers"" ; Grok: ""Telecom Providers (e.g., Verizon or AT&T)""",,Deployer,Deployer rules,
517810,"ChatGPT: ""Platforms designing & deploying subsidy verification systems""",Both,,,
518210,"Claude: ""Social media platforms""",,Both,,
519290,"Gemini: ""Short-Term Rental Platforms""",,,,Both
519290,"Gemini: ""Social Media & Search Engines""",,,,Both
522110,"ChatGPT: ""Banks & lenders using AI underwriting"" ; Claude: ""Banks using AI"" ; Grok: ""Banks and Lenders (e.g., Wells Fargo or LendingClub)"" ; Gemini: ""Banks & Credit Unions""",Deployer,Deployer,Both,Both
522130,"Claude: ""Credit unions using AI"" ; Gemini: ""Banks & Credit Unions""",,Deployer,,Both
522220,"Claude: ""Lending platforms""",,Both,,
522290,"Gemini: ""Financial Technology (Fintech)""",,,,Both
522291,"ChatGPT: ""Banks & lenders using AI underwriting"" ; Grok: ""FinTech Startups (e.g., Affirm or SoFi)""",Deployer,,Both,
522292,"ChatGPT: ""Banks & lenders using AI underwriting"" ; Claude: ""Mortgage lenders""",Deployer,Deployer,,
522292,"ChatGPT: ""Banks & lenders using AI underwriting"" ; Claude: ""Mortgage companies""",Deployer,Deployer,,
522298,"ChatGPT: ""FinTech firms (Upstart, SoFi, LendingClub)""",Both,,,
522310,"Grok: ""Mortgage Brokers (e.g., Rocket Mortgage)""",,,Deployer rules,
522320,"Claude: ""Payment processors with fraud detection""",,Developer,,
523930,"Claude: ""Robo-advisors""",,Both,,
5241,"Gemini: ""Insurance Carriers""",,,,Both
524113,"ChatGPT: ""Insurance carriers using AI underwriting/claims denial"" ; Claude: ""Life insurance companies""",Deployer,Deployer,,
524114,"ChatGPT: ""Insurance carriers using AI underwriting/claims denial"" ; Claude: ""Health insurance companies"" ; Grok: ""Health Insurance Companies (e.g., Anthem or Kaiser Permanente)"" ; Gemini: ""Health Insurance Carriers""",Deployer,Deployer,Both,Both
524114,"ChatGPT: ""Hospitals & insurers using AI for coverage decisions"" ; Claude: ""Health insurance companies"" ; Grok: ""Health Insurance Companies (e.g., Anthem or Kaiser Permanente)"" ; Gemini: ""Health Insurance Carriers""",Deployer,Deployer,Both,Both
524126,"ChatGPT: ""Insurance carriers using AI underwriting/claims denial"" ; Claude: ""Property insurance companies"" ; Grok: ""Insurance Companies (e.g., Allstate or Geico)""",Deployer,Deployer,Both,
524126,"ChatGPT: ""Insurance carriers using AI underwriting/claims denial"" ; Claude: ""Auto insurance companies"" ; Grok: ""Insurance Companies (e.g., Allstate or Geico)""",Deployer,Deployer,Both,
524126,"ChatGPT: ""Insurance carriers using AI underwriting/claims denial"" ; Claude: ""Insurance companies using AI"" ; Grok: ""Insurance Companies (e.g., Allstate or Geico)""",Deployer,Deployer,Both,
524210,"Claude: ""Insurance comparison platforms""",,Both,,
524298,"ChatGPT: ""InsurTech developers (Lemonade, Tractable)""",Both,,,
531210,"Claude: ""Real estate companies"" ; Grok: ""Real Estate Platforms (e.g., Zillow or Redfin)""",,Deployer,Both,
531311,"ChatGPT: ""Landlords & property managers using tenant AI screening"" ; Claude: ""Property management companies"" ; Grok: ""Property Management Companies (e.g., Greystar or Equity Residential)"" ; Gemini: ""Property Management Companies""",Deployer,Deployer,Both,Deployer
531390,"ChatGPT: ""PropTech companies (tenant risk scoring, appraisals)""",Developer,,,
541110,"ChatGPT: ""Law firms/arbitration platforms using AI"" ; Claude: ""Law firms using AI""",Deployer,Deployer,,
541110,"ChatGPT: ""Law firms/arbitration platforms using AI"" ; Claude: ""Arbitration organizations""",Deployer,Deployer,,
541110,"ChatGPT: ""Law firms/arbitration platforms using AI"" ; Claude: ""Mediation services""",Deployer,Deployer,,
541199,"ChatGPT: ""Law firms/arbitration platforms using AI"" ; Grok: ""Mediation and Arbitration Services (e.g., JAMS or AAA)""",Deployer,,Both,
541199,"ChatGPT: ""AI legal research/chatbot companies (Casetext, Harvey)"" ; Grok: ""Mediation and Arbitration Services (e.g., JAMS or AAA)""",Developer,,Both,
541199,"ChatGPT: ""AI legal research/chatbot companies (Casetext, Harvey)"" ; Grok: ""Legal Tech Companies (e.g., LegalZoom or Clio)""",Developer,,Both,
541199,"ChatGPT: ""Law firms/arbitration platforms using AI"" ; Grok: ""Legal Tech Companies (e.g., LegalZoom or Clio)""",Deployer,,Both,
541199,"ChatGPT: ""Online mediation services with AI integration"" ; Grok: ""Legal Tech Companies (e.g., LegalZoom or Clio)""",Both,,Both,
541199,"ChatGPT: ""Online mediation services with AI integration"" ; Grok: ""Mediation and Arbitration Services (e.g., JAMS or AAA)""",Both,,Both,
541511,"ChatGPT: ""Platforms designing & deploying subsidy verification systems"" ; Claude: ""Fraud detection systems for benefits""",Both,Developer,,
541511,"ChatGPT: ""Platforms designing & deploying subsidy verification systems"" ; Claude: ""Government software providers""",Both,Developer,,
541511,"ChatGPT: ""Platforms designing & deploying subsidy verification systems"" ; Claude: ""Legal practice management software""",Both,Developer,,
541511,"ChatGPT: ""Platforms designing & deploying subsidy verification systems"" ; Claude: ""Online dispute resolution platforms""",Both,Developer,,
541511,"ChatGPT: ""Platforms designing & deploying subsidy verification systems"" ; Claude: ""Contract analysis software""",Both,Developer,,
541511,"ChatGPT: ""Platforms designing & deploying subsidy verification systems"" ; Claude: ""Legal research platforms with AI""",Both,Developer,,
541511,"ChatGPT: ""Platforms designing & deploying subsidy verification systems"" ; Claude: ""Student information systems""",Both,Developer,,
541511,"ChatGPT: ""Platforms designing & deploying subsidy verification systems"" ; Claude: ""Rental screening platforms""",Both,Developer,,
541511,"ChatGPT: ""Platforms designing & deploying subsidy verification systems"" ; Claude: ""Property management software""",Both,Developer,,
541511,"ChatGPT: ""Platforms designing & deploying subsidy verification systems"" ; Claude: ""Real estate appraisal software""",Both,Developer,,
541511,"ChatGPT: ""Platforms designing & deploying subsidy verification systems"" ; Claude: ""EHR providers with AI""",Both,Developer,,
541511,"ChatGPT: ""Smart-grid/energy management software firms"" ; Claude: ""Telemedicine platforms with AI""",Developer,Developer,,
541511,"ChatGPT: ""Platforms designing & deploying subsidy verification systems"" ; Claude: ""Health insurance software providers""",Both,Developer,,
541511,"ChatGPT: ""Platforms designing & deploying subsidy verification systems"" ; Claude: ""Mental health apps with AI""",Both,Developer,,
541511,"ChatGPT: ""Platforms designing & deploying subsidy verification systems"" ; Claude: ""InsureTech companies""",Both,Developer,,
541511,"ChatGPT: ""Platforms designing & deploying subsidy verification systems"" ; Claude: ""Risk assessment software providers""",Both,Developer,,
541511,"ChatGPT: ""Platforms designing & deploying subsidy verification systems"" ; Claude: ""Case management systems with AI""",Both,Developer,,
541511,"ChatGPT: ""Platforms designing & deploying subsidy verification systems"" ; Claude: ""Automated benefits calculation software""",Both,Developer,,
541511,"ChatGPT: ""Smart-grid/energy management software firms"" ; Claude: ""Mental health apps with AI""",Developer,Developer,,
541511,"ChatGPT: ""Platforms designing & deploying subsidy verification systems"" ; Claude: ""Redistricting software companies""",Both,Developer,,
541511,"ChatGPT: ""Smart-grid/energy management software firms"" ; Claude: ""Applicant Tracking System (ATS) providers""",Developer,Developer,,
541511,"ChatGPT: ""Smart-grid/energy management software firms"" ; Claude: ""HR software companies""",Developer,Developer,,
541511,"ChatGPT: ""Smart-grid/energy management software firms"" ; Claude: ""Performance management platforms""",Developer,Developer,,
541511,"ChatGPT: ""Smart-grid/energy management software firms"" ; Claude: ""Scheduling software providers""",Developer,Developer,,
541511,"ChatGPT: ""Smart-grid/energy management software firms"" ; Claude: ""Online proctoring services""",Developer,Developer,,
541511,"ChatGPT: ""Smart-grid/energy management software firms"" ; Claude: ""Plagiarism detection software""",Developer,Developer,,
541511,"ChatGPT: ""Smart-grid/energy management software firms"" ; Claude: ""Learning management systems with AI""",Developer,Developer,,
541511,"ChatGPT: ""Platforms designing & deploying subsidy verification systems"" ; Claude: ""Voter registration software providers""",Both,Developer,,
541511,"ChatGPT: ""Smart-grid/energy management software firms"" ; Claude: ""Adaptive learning platforms""",Developer,Developer,,
541511,"ChatGPT: ""Smart-grid/energy management software firms"" ; Claude: ""Rental screening platforms""",Developer,Developer,,
541511,"ChatGPT: ""Platforms designing & deploying subsidy verification systems"" ; Claude: ""Adaptive learning platforms""",Both,Developer,,
541511,"ChatGPT: ""Smart-grid/energy management software firms"" ; Claude: ""Health insurance software providers""",Developer,Developer,,
541511,"ChatGPT: ""Smart-grid/energy management software firms"" ; Claude: ""Property management software""",Developer,Developer,,
541511,"ChatGPT: ""Smart-grid/energy management software firms"" ; Claude: ""Real estate appraisal software""",Developer,Developer,,
541511,"ChatGPT: ""Smart-grid/energy management software firms"" ; Claude: ""EHR providers with AI""",Developer,Developer,,
541511,"ChatGPT: ""Platforms designing & deploying subsidy verification systems"" ; Claude: ""Election information platforms""",Both,Developer,,
541511,"ChatGPT: ""Smart-grid/energy management software firms"" ; Claude: ""Student information systems""",Developer,Developer,,
541511,"ChatGPT: ""Platforms designing & deploying subsidy verification systems"" ; Claude: ""Learning management systems with AI""",Both,Developer,,
541511,"ChatGPT: ""Platforms designing & deploying subsidy verification systems"" ; Claude: ""Telemedicine platforms with AI""",Both,Developer,,
541511,"ChatGPT: ""Platforms designing & deploying subsidy verification systems"" ; Claude: ""Online proctoring services""",Both,Developer,,
541511,"ChatGPT: ""Credit/loan underwriting software providers"" ; Claude: ""Property management software""",Developer,Developer,,
541511,"ChatGPT: ""Credit/loan underwriting software providers"" ; Claude: ""Real estate appraisal software""",Developer,Developer,,
541511,"ChatGPT: ""Credit/loan underwriting software providers"" ; Claude: ""EHR providers with AI""",Developer,Developer,,
541511,"ChatGPT: ""Platforms designing & deploying subsidy verification systems"" ; Claude: ""Plagiarism detection software""",Both,Developer,,
541511,"ChatGPT: ""Credit/loan underwriting software providers"" ; Claude: ""Health insurance software providers""",Developer,Developer,,
541511,"ChatGPT: ""Credit/loan underwriting software providers"" ; Claude: ""Mental health apps with AI""",Developer,Developer,,
541511,"ChatGPT: ""Credit/loan underwriting software providers"" ; Claude: ""InsureTech companies""",Developer,Developer,,
541511,"ChatGPT: ""Credit/loan underwriting software providers"" ; Claude: ""Risk assessment software providers""",Developer,Developer,,
541511,"ChatGPT: ""Credit/loan underwriting software providers"" ; Claude: ""Rental screening platforms""",Developer,Developer,,
541511,"ChatGPT: ""Credit/loan underwriting software providers"" ; Claude: ""Case management systems with AI""",Developer,Developer,,
541511,"ChatGPT: ""Credit/loan underwriting software providers"" ; Claude: ""Contract analysis software""",Developer,Developer,,
541511,"ChatGPT: ""Credit/loan underwriting software providers"" ; Claude: ""Online dispute resolution platforms""",Developer,Developer,,
541511,"ChatGPT: ""Credit/loan underwriting software providers"" ; Claude: ""Legal practice management software""",Developer,Developer,,
541511,"ChatGPT: ""Credit/loan underwriting software providers"" ; Claude: ""Government software providers""",Developer,Developer,,
541511,"ChatGPT: ""Credit/loan underwriting software providers"" ; Claude: ""Fraud detection systems for benefits""",Developer,Developer,,
541511,"ChatGPT: ""Credit/loan underwriting software providers"" ; Claude: ""Automated benefits calculation software""",Developer,Developer,,
541511,"ChatGPT: ""Credit/loan underwriting software providers"" ; Claude: ""Voter registration software providers""",Developer,Developer,,
541511,"ChatGPT: ""Credit/loan underwriting software providers"" ; Claude: ""Redistricting software companies""",Developer,Developer,,
541511,"ChatGPT: ""Credit/loan underwriting software providers"" ; Claude: ""Legal research platforms with AI""",Developer,Developer,,
541511,"ChatGPT: ""Credit/loan underwriting software providers"" ; Claude: ""Student information systems""",Developer,Developer,,
541511,"ChatGPT: ""Credit/loan underwriting software providers"" ; Claude: ""Adaptive learning platforms""",Developer,Developer,,
541511,"ChatGPT: ""Credit/loan underwriting software providers"" ; Claude: ""Learning management systems with AI""",Developer,Developer,,
541511,"ChatGPT: ""Smart-grid/energy management software firms"" ; Claude: ""InsureTech companies""",Developer,Developer,,
541511,"ChatGPT: ""Smart-grid/energy management software firms"" ; Claude: ""Risk assessment software providers""",Developer,Developer,,
541511,"ChatGPT: ""Smart-grid/energy management software firms"" ; Claude: ""Case management systems with AI""",Developer,Developer,,
541511,"ChatGPT: ""Smart-grid/energy management software firms"" ; Claude: ""Legal research platforms with AI""",Developer,Developer,,
541511,"ChatGPT: ""Smart-grid/energy management software firms"" ; Claude: ""Contract analysis software""",Developer,Developer,,
541511,"ChatGPT: ""Smart-grid/energy management software firms"" ; Claude: ""Online dispute resolution platforms""",Developer,Developer,,
541511,"ChatGPT: ""Smart-grid/energy management software firms"" ; Claude: ""Legal practice management software""",Developer,Developer,,
541511,"ChatGPT: ""Smart-grid/energy management software firms"" ; Claude: ""Government software providers""",Developer,Developer,,
541511,"ChatGPT: ""Smart-grid/energy management software firms"" ; Claude: ""Fraud detection systems for benefits""",Developer,Developer,,
541511,"ChatGPT: ""Smart-grid/energy management software firms"" ; Claude: ""Automated benefits calculation software""",Developer,Developer,,
541511,"ChatGPT: ""Smart-grid/energy management software firms"" ; Claude: ""Voter registration software providers""",Developer,Developer,,
541511,"ChatGPT: ""Smart-grid/energy management software firms"" ; Claude: ""Redistricting software companies""",Developer,Developer,,
541511,"ChatGPT: ""Smart-grid/energy management software firms"" ; Claude: ""Election information platforms""",Developer,Developer,,
541511,"ChatGPT: ""Credit/loan underwriting software providers"" ; Claude: ""Applicant Tracking System (ATS) providers""",Developer,Developer,,
541511,"ChatGPT: ""Credit/loan underwriting software providers"" ; Claude: ""HR software companies""",Developer,Developer,,
541511,"ChatGPT: ""Credit/loan underwriting software providers"" ; Claude: ""Performance management platforms""",Developer,Developer,,
541511,"ChatGPT: ""Credit/loan underwriting software providers"" ; Claude: ""Scheduling software providers""",Developer,Developer,,
541511,"ChatGPT: ""Credit/loan underwriting software providers"" ; Claude: ""Online proctoring services""",Developer,Developer,,
541511,"ChatGPT: ""Credit/loan underwriting software providers"" ; Claude: ""Plagiarism detection software""",Developer,Developer,,
541511,"ChatGPT: ""Credit/loan underwriting software providers"" ; Claude: ""Election information platforms""",Developer,Developer,,
541511,"ChatGPT: ""Vendors building welfare eligibility AI"" ; Claude: ""Applicant Tracking System (ATS) providers""",Developer,Developer,,
541511,"ChatGPT: ""Credit/loan underwriting software providers"" ; Claude: ""Telemedicine platforms with AI""",Developer,Developer,,
541511,"ChatGPT: ""Vendors building welfare eligibility AI"" ; Claude: ""Fraud detection systems for benefits""",Developer,Developer,,
541511,"ChatGPT: ""Vendors building welfare eligibility AI"" ; Claude: ""Health insurance software providers""",Developer,Developer,,
541511,"ChatGPT: ""Vendors building welfare eligibility AI"" ; Claude: ""Real estate appraisal software""",Developer,Developer,,
541511,"ChatGPT: ""Vendors building welfare eligibility AI"" ; Claude: ""Contract analysis software""",Developer,Developer,,
541511,"ChatGPT: ""Vendors building welfare eligibility AI"" ; Claude: ""Property management software""",Developer,Developer,,
541511,"ChatGPT: ""Vendors building welfare eligibility AI"" ; Claude: ""Rental screening platforms""",Developer,Developer,,
541511,"ChatGPT: ""Vendors building welfare eligibility AI"" ; Claude: ""Mental health apps with AI""",Developer,Developer,,
541511,"ChatGPT: ""Vendors building welfare eligibility AI"" ; Claude: ""Online dispute resolution platforms""",Developer,Developer,,
541511,"ChatGPT: ""Vendors building welfare eligibility AI"" ; Claude: ""Legal research platforms with AI""",Developer,Developer,,
541511,"ChatGPT: ""Vendors building welfare eligibility AI"" ; Claude: ""Election information platforms""",Developer,Developer,,
541511,"ChatGPT: ""Vendors building welfare eligibility AI"" ; Claude: ""Legal practice management software""",Developer,Developer,,
541511,"ChatGPT: ""Vendors building welfare eligibility AI"" ; Claude: ""Risk assessment software providers""",Developer,Developer,,
541511,"ChatGPT: ""Vendors building welfare eligibility AI"" ; Claude: ""Student information systems""",Developer,Developer,,
541511,"ChatGPT: ""Vendors building welfare eligibility AI"" ; Claude: ""Government software providers""",Developer,Developer,,
541511,"ChatGPT: ""Vendors building welfare eligibility AI"" ; Claude: ""Case management systems with AI""",Developer,Developer,,
541511,"ChatGPT: ""Vendors building welfare eligibility AI"" ; Claude: ""EHR providers with AI""",Developer,Developer,,
541511,"ChatGPT: ""Vendors building welfare eligibility AI"" ; Claude: ""Telemedicine platforms with AI""",Developer,Developer,,
541511,"ChatGPT: ""Vendors building welfare eligibility AI"" ; Claude: ""Learning management systems with AI""",Developer,Developer,,
541511,"ChatGPT: ""Vendors building welfare eligibility AI"" ; Claude: ""InsureTech companies""",Developer,Developer,,
541511,"ChatGPT: ""Vendors building welfare eligibility AI"" ; Claude: ""Automated benefits calculation software""",Developer,Developer,,
541511,"ChatGPT: ""Platforms designing & deploying subsidy verification systems"" ; Claude: ""HR software companies""",Both,Developer,,
541511,"ChatGPT: ""Platforms designing & deploying subsidy verification systems"" ; Claude: ""Performance management platforms""",Both,Developer,,
541511,"ChatGPT: ""Platforms designing & deploying subsidy verification systems"" ; Claude: ""Scheduling software providers""",Both,Developer,,
541511,"ChatGPT: ""Vendors building welfare eligibility AI"" ; Claude: ""HR software companies""",Developer,Developer,,
541511,"ChatGPT: ""Vendors building welfare eligibility AI"" ; Claude: ""Voter registration software providers""",Developer,Developer,,
541511,"ChatGPT: ""Vendors building welfare eligibility AI"" ; Claude: ""Redistricting software companies""",Developer,Developer,,
541511,"ChatGPT: ""Vendors building welfare eligibility AI"" ; Claude: ""Adaptive learning platforms""",Developer,Developer,,
541511,"ChatGPT: ""Platforms designing & deploying subsidy verification systems"" ; Claude: ""Applicant Tracking System (ATS) providers""",Both,Developer,,
541511,"ChatGPT: ""Vendors building welfare eligibility AI"" ; Claude: ""Performance management platforms""",Developer,Developer,,
541511,"ChatGPT: ""Vendors building welfare eligibility AI"" ; Claude: ""Plagiarism detection software""",Developer,Developer,,
541511,"ChatGPT: ""Vendors building welfare eligibility AI"" ; Claude: ""Scheduling software providers""",Developer,Developer,,
541511,"ChatGPT: ""Vendors building welfare eligibility AI"" ; Claude: ""Online proctoring services""",Developer,Developer,,
541512,"ChatGPT: ""Contractors both designing & operating benefit systems"" ; Grok: ""Criminal Justice Tech Vendors (e.g., Palantir)""",Both,,Developer rules,
541512,"ChatGPT: ""Workforce management software firms (Workday, ADP)"" ; Grok: ""Criminal Justice Tech Vendors (e.g., Palantir)""",Both,,Developer rules,
541512,"ChatGPT: ""Vendors building welfare eligibility AI"" ; Grok: ""Criminal Justice Tech Vendors (e.g., Palantir)""",Developer,,Developer rules,
541611,"ChatGPT: ""Voter eligibility / redistricting software vendors""",Developer,,,
541715,"ChatGPT: ""AI diagnostic firms (radiology AI, triage tools)"" ; Claude: ""Medical AI companies""",Developer,Developer,,
541715,"ChatGPT: ""Child welfare risk assessment vendors"" ; Claude: ""Medical AI companies""",Developer,Developer,,
541715,"ChatGPT: ""Pretrial risk assessment tool vendors"" ; Claude: ""Medical AI companies""",Developer,Developer,,
541820,"Claude: ""Political consulting firms""",,Deployer,,
551114,"Claude: ""Large corporations using AI for hiring""",,Deployer,,
561210,"ChatGPT: ""Private prison contractors with AI monitoring""",Both,,,
561311,"ChatGPT: ""Large employers using AI hiring/scheduling tools"" ; Claude: ""Staffing agencies using automated screening"" ; Grok: ""Recruitment Agencies (e.g., Robert Half or Adecco)"" ; Gemini: ""Recruiting & Staffing Agencies""",Deployer,Deployer,Both,Deployer
561320,"ChatGPT: ""Large employers using AI hiring/scheduling tools""",Deployer,,,
561330,"ChatGPT: ""Large employers using AI hiring/scheduling tools""",Deployer,,,
561422,"Claude: ""Call centers using AI monitoring""",,Deployer,,
561450,"Claude: ""Credit scoring companies"" ; Grok: ""Credit Reporting Agencies (e.g., Equifax or TransUnion)""",,Developer,Developer rules,
561599,"Claude: ""Short-term rental platforms (Airbnb)""",,Both,,
561612,"Claude: ""Electronic monitoring companies""",,Developer,,
562111,"Claude: ""Municipal waste services""",,Deployer,,
611110,"ChatGPT: ""Universities and schools using AI in admissions/proctoring"" ; Claude: ""K-12 school districts using AI""",Deployer,Deployer,,
611310,"ChatGPT: ""Universities and schools using AI in admissions/proctoring"" ; Claude: ""Universities and colleges using AI"" ; Gemini: ""Colleges & Universities""",Deployer,Deployer,,Deployer
611430,"Grok: ""Vocational Training Platforms (e.g., LinkedIn Learning or Udacity)""",,,Both,
611519,"Claude: ""Vocational training schools""",,Deployer,,
611699,"ChatGPT: ""EdTech companies (AI grading, proctoring, plagiarism detection)""",Developer,,,
611710,"ChatGPT: ""Certification/testing companies (ETS, Pearson VUE)"" ; Grok: ""EdTech Companies (e.g., Coursera or Duolingo)""",Both,,Both,
621111,"ChatGPT: ""Fertility/IVF clinics with AI systems"" ; Claude: ""Fertility clinics""",Both,Deployer,,
621210,"Grok: ""Dental and Vision Care Providers (e.g., Aspen Dental)""",,,Deployer rules,
621330,"Grok: ""Mental Health Apps (e.g., BetterHelp or Headspace)""",,,Both,
621410,"ChatGPT: ""Fertility/IVF clinics with AI systems"" ; Claude: ""Family planning organizations"" ; Grok: ""Reproductive Health Clinics (e.g., Planned Parenthood affiliates)""",Both,Deployer,Deployer rules,
621610,"Claude: ""Telehealth companies""",,Both,,
621999,"Grok: ""Telemedicine Providers (e.g., Teladoc or Amwell)""",,,Both,
622110,"ChatGPT: ""Hospitals & insurers using AI for coverage decisions"" ; Claude: ""Hospitals using AI"" ; Gemini: ""Hospitals""",Deployer,Deployer,,Deployer
624110,"Grok: ""Child Welfare Service Contractors (e.g., private adoption agencies)""",,,Deployer rules,
624190,"Claude: ""Adoption agencies""",,Deployer,,
711310,"Claude: ""Entertainment venues using AI""",,Deployer,,
721110,"Claude: ""Hotels using AI""",,Deployer,,
721199,"ChatGPT: ""Short-term rental platforms (Airbnb, Vrbo)"" ; Grok: ""Hotel and Lodging Platforms (e.g., Airbnb or Booking.com)""",Both,,Both,
721310,"ChatGPT: ""Short-term rental platforms (Airbnb, Vrbo)""",Both,,,
722513,"Claude: ""Restaurants using AI""",,Deployer,,
813311,"Claude: ""Legal aid organizations""",,Deployer,,
813319,"ChatGPT: ""Civic tech nonprofits using AI for eligibility/GOTV""",Both,,,
813920,"Claude: ""Professional certification bodies""",,Deployer,,
921130,"Claude: ""Tax agencies""",,Deployer,,
921140,"Claude: ""Secretary of State offices""",,Deployer,,
921140,"Claude: ""County election offices""",,Deployer,,
921190,"ChatGPT: ""State election boards using voter management ADS""",Deployer,,,
922110,"ChatGPT: ""Courts/probation departments deploying ADS""",Deployer,,,
922120,"Claude: ""District attorneys' offices""",,Deployer,,
922130,"Claude: ""Courts using AI""",,Deployer,,
922140,"ChatGPT: ""Private prison contractors with AI monitoring"" ; Claude: ""Probation departments""",Both,Deployer,,
922150,"ChatGPT: ""Courts/probation departments deploying ADS""",Deployer,,,
923130,"ChatGPT: ""Agencies deploying eligibility-screening systems"" ; Claude: ""Social services departments"" ; Grok: ""Government Benefits Administrators (e.g., Maximus)""",Deployer,Deployer,Deployer rules,
923130,"ChatGPT: ""Agencies deploying eligibility-screening systems"" ; Claude: ""Unemployment offices"" ; Grok: ""Government Benefits Administrators (e.g., Maximus)""",Deployer,Deployer,Deployer rules,
923130,"ChatGPT: ""Agencies deploying eligibility-screening systems"" ; Claude: ""Child protective services"" ; Grok: ""Government Benefits Administrators (e.g., Maximus)""",Deployer,Deployer,Deployer rules,
