Original_Classification_NAICS,Matched_Stats_NAICS,NAICS Description,Industry,Business Type,ChatGPT_Regulation_Type,Claude_Regulation_Type,Gemini_Regulation_Type,Grok_Regulation_Type,Total,0-4,5-9,10-19,20-49,50-99,100-249,250-499,500-999
44-45,44 - 45,Retail,Retail Trade,"Gemini: ""Large Corporations (as employers)""",,,Deployer,,"1,574,732","92,906","148,349","227,301","271,266","295,412","349,803","148,475","24,348"
485111,485,Mixed Mode Transit Systems,Transit and Ground Passenger Transportation,"Claude: ""Public transit agencies""",,Deployer,,,"49,710","1,824","1,947","3,391","6,679","7,541","10,123","5,265",(2)
485310,485,Taxi and Ridesharing Services,Transit and Ground Passenger Transportation,"ChatGPT: ""Transit agencies and rideshare platforms (Uber, Lyft)"" Grok: ""Public Accommodation Apps (e.g., Uber or Lyft for transportation)""",Both,,,Both,"49,710","1,824","1,947","3,391","6,679","7,541","10,123","5,265",(2)
485999,485,All Other Transit & Ground Passenger Transportation,Transit and Ground Passenger Transportation,"ChatGPT: ""Transit agencies and rideshare platforms (Uber, Lyft)"" Claude: ""Gig economy platforms (Uber, DoorDash)"" Claude: ""Ride-sharing companies""",Both,Both,,,"49,710","1,824","1,947","3,391","6,679","7,541","10,123","5,265",(2)
488999,488,All Other Support Activities for Transportation,Support Activities for Transportation,"Gemini: ""Ride-Sharing & Delivery Platforms""",,,Both,,"110,870","6,706","7,829","10,742","18,024","14,049","15,808","9,147",(2)
492110,492,Couriers and Express Delivery Services,Couriers and Messengers,"Claude: ""Delivery companies""",,Both,,,"125,030","1,717","2,233","4,961","8,368","20,400","20,253","13,350","16,441"
511210,51,Software Publishers,Information,"ChatGPT: ""HR tech vendors (AI hiring, scheduling software)"" ChatGPT: ""Workforce management software firms (Workday, ADP)"" ChatGPT: ""EdTech companies (AI grading, proctoring, plagiarism detection)"" ChatGPT: ""PropTech companies (tenant risk scoring, appraisals)"" ChatGPT: ""Smart-grid/energy management software firms"" ChatGPT: ""EHR vendors (Epic, Cerner with AI modules)"" ChatGPT: ""Credit/loan underwriting software providers"" ChatGPT: ""AI legal research/chatbot companies (Casetext, Harvey)"" ChatGPT: ""Voter eligibility / redistricting software vendors"" ChatGPT: ""InsurTech developers (Lemonade, Tractable)"" ChatGPT: ""AI fraud detection vendors in telecom""",Developer,,,,"535,018","25,478","19,191","28,048","50,405","50,009","64,367","49,312","53,182"
513210,513,Software Publishers,Publishing Industries,"Grok: ""HR Software Providers (e.g., Workday or BambooHR)"" Grok: ""University Admissions Software Vendors (e.g., Slate)"" Grok: ""Productivity Software Firms (e.g., Microsoft for workplace tools)"" Gemini: ""HR Technology Companies"" Gemini: ""Health Technology Companies"" Gemini: ""Real Estate Technology Companies"" Gemini: ""Educational Technology (EdTech)""",,,Developer,Both,"126,675","7,761","6,731","8,614","15,182","12,685","19,762","8,998","12,639"
517311,517,Wired Telecommunications Carriers,Telecommunications,"Claude: ""Internet service providers"" Grok: ""Telecom Providers (e.g., Verizon or AT&T)""",,Deployer,,Deployer rules,"53,199","2,182","3,334","6,194","8,636","7,411","7,496","6,122","5,257"
517121,517,Telecommunications Resellers,Telecommunications,"ChatGPT: ""Broadband/telecom providers using AI for service eligibility""",Deployer,,,,"53,199","2,182","3,334","6,194","8,636","7,411","7,496","6,122","5,257"
517810,517,All Other Telecommunications,Telecommunications,"ChatGPT: ""Platforms designing & deploying subsidy verification systems""",Both,,,,"53,199","2,182","3,334","6,194","8,636","7,411","7,496","6,122","5,257"
517110,517,Wired Telecommunications Carriers,Telecommunications,"Claude: ""Telecommunications companies""",,Deployer,,,"53,199","2,182","3,334","6,194","8,636","7,411","7,496","6,122","5,257"
5171,517,Telecommunications,Telecommunications,"Gemini: ""Telecom & Internet Providers""",,,Both,,"53,199","2,182","3,334","6,194","8,636","7,411","7,496","6,122","5,257"
517112,517,Wireless Telecommunications Carriers (except Satellite),Telecommunications,"ChatGPT: ""Broadband/telecom providers using AI for service eligibility""",Deployer,,,,"53,199","2,182","3,334","6,194","8,636","7,411","7,496","6,122","5,257"
518210,518,"Data Processing, Hosting, and Related Services","Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services","Claude: ""Social media platforms""",,Both,,,"79,559","4,423","3,248","4,110","7,063","6,957","8,637","8,454",(2)
519290,519,Web Search Portals and All Other Information Services,"Web Search Portals, Libraries, Archives, and Other Information Services","Gemini: ""Social Media & Search Engines"" Gemini: ""Short-Term Rental Platforms""",,,Both,,"62,908",781,522,833,"1,411","2,137","7,202","10,825",(1)
522310,522,,Credit Intermediation and Related Activities,"Grok: ""Mortgage Brokers (e.g., Rocket Mortgage)""",,,,Deployer rules,"194,707","13,181","28,857","34,234","23,724","19,342","27,131","16,699","9,624"
522298,522,All Other Nondepository Credit Intermediation,Credit Intermediation and Related Activities,"ChatGPT: ""FinTech firms (Upstart, SoFi, LendingClub)""",Both,,,,"194,707","13,181","28,857","34,234","23,724","19,342","27,131","16,699","9,624"
522292,522,Real Estate Credit,Credit Intermediation and Related Activities,"ChatGPT: ""Banks & lenders using AI underwriting"" Claude: ""Mortgage lenders"" Claude: ""Mortgage companies""",Deployer,Deployer,,,"194,707","13,181","28,857","34,234","23,724","19,342","27,131","16,699","9,624"
522291,522,Consumer Lending,Credit Intermediation and Related Activities,"ChatGPT: ""Banks & lenders using AI underwriting"" Grok: ""FinTech Startups (e.g., Affirm or SoFi)""",Deployer,,,Both,"194,707","13,181","28,857","34,234","23,724","19,342","27,131","16,699","9,624"
522320,522,"Financial Transactions Processing, Reserve, and Clearinghouse Activities",Credit Intermediation and Related Activities,"Claude: ""Payment processors with fraud detection""",,Developer,,,"194,707","13,181","28,857","34,234","23,724","19,342","27,131","16,699","9,624"
522220,522,Sales Financing,Credit Intermediation and Related Activities,"Claude: ""Lending platforms""",,Both,,,"194,707","13,181","28,857","34,234","23,724","19,342","27,131","16,699","9,624"
522130,522,Credit Unions,Credit Intermediation and Related Activities,"Claude: ""Credit unions using AI"" Gemini: ""Banks & Credit Unions""",,Deployer,Both,,"194,707","13,181","28,857","34,234","23,724","19,342","27,131","16,699","9,624"
522110,522,Commercial Banking,Credit Intermediation and Related Activities,"ChatGPT: ""Banks & lenders using AI underwriting"" Claude: ""Banks using AI"" Grok: ""Banks and Lenders (e.g., Wells Fargo or LendingClub)"" Gemini: ""Banks & Credit Unions""",Deployer,Deployer,Both,Both,"194,707","13,181","28,857","34,234","23,724","19,342","27,131","16,699","9,624"
522290,522,Other Nondepository Credit Intermediation,Credit Intermediation and Related Activities,"Gemini: ""Financial Technology (Fintech)""",,,Both,,"194,707","13,181","28,857","34,234","23,724","19,342","27,131","16,699","9,624"
523930,523,Investment Advice,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities","Claude: ""Robo-advisors""",,Both,,,"103,358","18,147",(2),"11,737","18,475",(2),"14,885",(2),"4,432"
524298,524,All Other Insurance Related Activities,Insurance Carriers and Related Activities,"ChatGPT: ""InsurTech developers (Lemonade, Tractable)""",Both,,,,"192,764","21,520","15,717","14,842","23,352","20,164","28,875","19,095","17,850"
524210,524,Insurance Agencies and Brokerages,Insurance Carriers and Related Activities,"Claude: ""Insurance comparison platforms""",,Both,,,"192,764","21,520","15,717","14,842","23,352","20,164","28,875","19,095","17,850"
524126,524,Direct Property & Casualty Insurance Carriers,Insurance Carriers and Related Activities,"ChatGPT: ""Insurance carriers using AI underwriting/claims denial"" Claude: ""Insurance companies using AI"" Claude: ""Auto insurance companies"" Claude: ""Property insurance companies"" Grok: ""Insurance Companies (e.g., Allstate or Geico)""",Deployer,Deployer,,Both,"192,764","21,520","15,717","14,842","23,352","20,164","28,875","19,095","17,850"
524113,524,Direct Life Insurance Carriers,Insurance Carriers and Related Activities,"ChatGPT: ""Insurance carriers using AI underwriting/claims denial"" Claude: ""Life insurance companies""",Deployer,Deployer,,,"192,764","21,520","15,717","14,842","23,352","20,164","28,875","19,095","17,850"
5241,524,Insurance Carriers,Insurance Carriers and Related Activities,"Gemini: ""Insurance Carriers""",,,Both,,"192,764","21,520","15,717","14,842","23,352","20,164","28,875","19,095","17,850"
524114,524,Direct Health & Medical Insurance Carriers,Insurance Carriers and Related Activities,"ChatGPT: ""Hospitals & insurers using AI for coverage decisions"" ChatGPT: ""Insurance carriers using AI underwriting/claims denial"" Claude: ""Health insurance companies"" Grok: ""Health Insurance Companies (e.g., Anthem or Kaiser Permanente)"" Gemini: ""Health Insurance Carriers""",Deployer,Deployer,Both,Both,"192,764","21,520","15,717","14,842","23,352","20,164","28,875","19,095","17,850"
531210,531,Offices of Real Estate Agents and Brokers,Real Estate,"Claude: ""Real estate companies"" Grok: ""Real Estate Platforms (e.g., Zillow or Redfin)""",,Deployer,,Both,"238,663","66,300","36,392","31,205","36,266","23,561","25,099","10,959",(2)
531311,531,Residential Property Managers,Real Estate,"ChatGPT: ""Landlords & property managers using tenant AI screening"" Claude: ""Property management companies"" Grok: ""Property Management Companies (e.g., Greystar or Equity Residential)"" Gemini: ""Property Management Companies""",Deployer,Deployer,Deployer,Both,"238,663","66,300","36,392","31,205","36,266","23,561","25,099","10,959",(2)
531390,531,Other Activities Related to Real Estate,Real Estate,"ChatGPT: ""PropTech companies (tenant risk scoring, appraisals)""",Developer,,,,"238,663","66,300","36,392","31,205","36,266","23,561","25,099","10,959",(2)
541715,541,"R&D in the Physical, Engineering, and Life Sciences (except Nanotechnology & Biotechnology)","Professional, Scientific, and Technical Services","ChatGPT: ""Child welfare risk assessment vendors"" ChatGPT: ""AI diagnostic firms (radiology AI, triage tools)"" ChatGPT: ""Pretrial risk assessment tool vendors"" Claude: ""Medical AI companies""",Developer,Developer,,,"1,406,925","175,266","120,100","149,953","220,031","165,735","191,936","117,339","86,538"
541820,541,Public Relations Agencies,"Professional, Scientific, and Technical Services","Claude: ""Political consulting firms""",,Deployer,,,"1,406,925","175,266","120,100","149,953","220,031","165,735","191,936","117,339","86,538"
541611,541,Administrative Management Consulting,"Professional, Scientific, and Technical Services","ChatGPT: ""Voter eligibility / redistricting software vendors""",Developer,,,,"1,406,925","175,266","120,100","149,953","220,031","165,735","191,936","117,339","86,538"
541511,541,Custom Computer Programming Services,"Professional, Scientific, and Technical Services","ChatGPT: ""Smart-grid/energy management software firms"" ChatGPT: ""Credit/loan underwriting software providers"" ChatGPT: ""Vendors building welfare eligibility AI"" ChatGPT: ""Platforms designing & deploying subsidy verification systems"" Claude: ""Applicant Tracking System (ATS) providers"" Claude: ""HR software companies"" Claude: ""Performance management platforms"" Claude: ""Scheduling software providers"" Claude: ""Online proctoring services"" Claude: ""Plagiarism detection software"" Claude: ""Learning management systems with AI"" Claude: ""Adaptive learning platforms"" Claude: ""Student information systems"" Claude: ""Rental screening platforms"" Claude: ""Property management software"" Claude: ""Real estate appraisal software"" Claude: ""EHR providers with AI"" Claude: ""Telemedicine platforms with AI"" Claude: ""Health insurance software providers"" Claude: ""Mental health apps with AI"" Claude: ""InsureTech companies"" Claude: ""Risk assessment software providers"" Claude: ""Case management systems with AI"" Claude: ""Legal research platforms with AI"" Claude: ""Contract analysis software"" Claude: ""Online dispute resolution platforms"" Claude: ""Legal practice management software"" Claude: ""Government software providers"" Claude: ""Fraud detection systems for benefits"" Claude: ""Automated benefits calculation software"" Claude: ""Voter registration software providers"" Claude: ""Redistricting software companies"" Claude: ""Election information platforms""",Developer,Developer,,,"1,406,925","175,266","120,100","149,953","220,031","165,735","191,936","117,339","86,538"
541199,541,All Other Legal Services,"Professional, Scientific, and Technical Services","ChatGPT: ""AI legal research/chatbot companies (Casetext, Harvey)"" ChatGPT: ""Law firms/arbitration platforms using AI"" ChatGPT: ""Online mediation services with AI integration"" Grok: ""Legal Tech Companies (e.g., LegalZoom or Clio)"" Grok: ""Mediation and Arbitration Services (e.g., JAMS or AAA)""",Developer,,,Both,"1,406,925","175,266","120,100","149,953","220,031","165,735","191,936","117,339","86,538"
541110,541,Offices of Lawyers,"Professional, Scientific, and Technical Services","ChatGPT: ""Law firms/arbitration platforms using AI"" Claude: ""Law firms using AI"" Claude: ""Arbitration organizations"" Claude: ""Mediation services""",Deployer,Deployer,,,"1,406,925","175,266","120,100","149,953","220,031","165,735","191,936","117,339","86,538"
541512,541,Computer Systems Design Services,"Professional, Scientific, and Technical Services","ChatGPT: ""Workforce management software firms (Workday, ADP)"" ChatGPT: ""Vendors building welfare eligibility AI"" ChatGPT: ""Contractors both designing & operating benefit systems"" Grok: ""Criminal Justice Tech Vendors (e.g., Palantir)""",Both,,,Developer rules,"1,406,925","175,266","120,100","149,953","220,031","165,735","191,936","117,339","86,538"
551114,551,"Corporate, Subsidiary, and Regional Managing Offices",Management of Companies and Enterprises,"Claude: ""Large corporations using AI for hiring""",,Deployer,,,"287,917","2,942","4,424","8,295","21,469","24,944","53,013","38,393","32,099"
561599,561,All Other Travel Arrangement and Reservation Services,Administrative and Support Services,"Claude: ""Short-term rental platforms (Airbnb)""",,Both,,,"1,028,910","51,716","52,369","68,172","124,732","115,690","187,627","131,388",(2)
561612,561,Security Guards and Patrol Services,Administrative and Support Services,"Claude: ""Electronic monitoring companies""",,Developer,,,"1,028,910","51,716","52,369","68,172","124,732","115,690","187,627","131,388",(2)
561422,561,Telemarketing Bureaus and Other Contact Centers,Administrative and Support Services,"Claude: ""Call centers using AI monitoring""",,Deployer,,,"1,028,910","51,716","52,369","68,172","124,732","115,690","187,627","131,388",(2)
561450,561,Credit Bureaus,Administrative and Support Services,"Claude: ""Credit scoring companies"" Grok: ""Credit Reporting Agencies (e.g., Equifax or TransUnion)""",,Developer,,Developer rules,"1,028,910","51,716","52,369","68,172","124,732","115,690","187,627","131,388",(2)
561320,561,Temporary Help Services,Administrative and Support Services,"ChatGPT: ""Large employers using AI hiring/scheduling tools""",Deployer,,,,"1,028,910","51,716","52,369","68,172","124,732","115,690","187,627","131,388",(2)
561311,561,Employment Placement Agencies,Administrative and Support Services,"ChatGPT: ""Large employers using AI hiring/scheduling tools"" Claude: ""Staffing agencies using automated screening"" Grok: ""Recruitment Agencies (e.g., Robert Half or Adecco)"" Gemini: ""Recruiting & Staffing Agencies""",Deployer,Deployer,Deployer,Both,"1,028,910","51,716","52,369","68,172","124,732","115,690","187,627","131,388",(2)
561210,561,Facilities Support Services,Administrative and Support Services,"ChatGPT: ""Private prison contractors with AI monitoring""",Both,,,,"1,028,910","51,716","52,369","68,172","124,732","115,690","187,627","131,388",(2)
561330,561,Professional Employer Organizations,Administrative and Support Services,"ChatGPT: ""Large employers using AI hiring/scheduling tools""",Deployer,,,,"1,028,910","51,716","52,369","68,172","124,732","115,690","187,627","131,388",(2)
562111,562,Solid Waste Collection,Waste Management and Remediation Services,"Claude: ""Municipal waste services""",,Deployer,,,"60,833","2,417","3,224","6,096","12,124","12,282","13,841","7,103",(2)
611699,611,All Other Miscellaneous Schools & Instruction,Educational Services,"ChatGPT: ""EdTech companies (AI grading, proctoring, plagiarism detection)""",Developer,,,,"357,995","15,650","20,355","32,809","56,655","44,947","49,812","33,337","22,103"
611110,611,Elementary & Secondary Schools,Educational Services,"ChatGPT: ""Universities and schools using AI in admissions/proctoring"" Claude: ""K-12 school districts using AI""",Deployer,Deployer,,,"357,995","15,650","20,355","32,809","56,655","44,947","49,812","33,337","22,103"
611310,611,"Colleges, Universities, and Professional Schools",Educational Services,"ChatGPT: ""Universities and schools using AI in admissions/proctoring"" Claude: ""Universities and colleges using AI"" Gemini: ""Colleges & Universities""",Deployer,Deployer,Deployer,,"357,995","15,650","20,355","32,809","56,655","44,947","49,812","33,337","22,103"
611430,611,,Educational Services,"Grok: ""Vocational Training Platforms (e.g., LinkedIn Learning or Udacity)""",,,,Both,"357,995","15,650","20,355","32,809","56,655","44,947","49,812","33,337","22,103"
611519,611,Other Technical and Trade Schools,Educational Services,"Claude: ""Vocational training schools""",,Deployer,,,"357,995","15,650","20,355","32,809","56,655","44,947","49,812","33,337","22,103"
611710,611,Educational Support Services,Educational Services,"ChatGPT: ""Certification/testing companies (ETS, Pearson VUE)"" Grok: ""EdTech Companies (e.g., Coursera or Duolingo)""",Both,,,Both,"357,995","15,650","20,355","32,809","56,655","44,947","49,812","33,337","22,103"
621610,621,Home Health Care Services,Ambulatory Health Care Services,"Claude: ""Telehealth companies""",,Both,,,"1,021,098","94,332","128,551","147,319","165,731","114,652","126,816","79,084","55,743"
621999,621,,Ambulatory Health Care Services,"Grok: ""Telemedicine Providers (e.g., Teladoc or Amwell)""",,,,Both,"1,021,098","94,332","128,551","147,319","165,731","114,652","126,816","79,084","55,743"
621410,621,Family Planning Centers,Ambulatory Health Care Services,"ChatGPT: ""Fertility/IVF clinics with AI systems"" Claude: ""Family planning organizations"" Grok: ""Reproductive Health Clinics (e.g., Planned Parenthood affiliates)""",Both,Deployer,,Deployer rules,"1,021,098","94,332","128,551","147,319","165,731","114,652","126,816","79,084","55,743"
621111,621,Offices of Physicians,Ambulatory Health Care Services,"ChatGPT: ""Fertility/IVF clinics with AI systems"" Claude: ""Fertility clinics""",Both,Deployer,,,"1,021,098","94,332","128,551","147,319","165,731","114,652","126,816","79,084","55,743"
621210,621,,Ambulatory Health Care Services,"Grok: ""Dental and Vision Care Providers (e.g., Aspen Dental)""",,,,Deployer rules,"1,021,098","94,332","128,551","147,319","165,731","114,652","126,816","79,084","55,743"
621330,621,,Ambulatory Health Care Services,"Grok: ""Mental Health Apps (e.g., BetterHelp or Headspace)""",,,,Both,"1,021,098","94,332","128,551","147,319","165,731","114,652","126,816","79,084","55,743"
622110,622,General Medical & Surgical Hospitals,Hospitals,"ChatGPT: ""Hospitals & insurers using AI for coverage decisions"" Claude: ""Hospitals using AI"" Gemini: ""Hospitals""",Deployer,Deployer,Deployer,,"434,150",377,284,975,"2,226","3,139","12,490","34,167","52,555"
624110,624,,Social Assistance,"Grok: ""Child Welfare Service Contractors (e.g., private adoption agencies)""",,,,Deployer rules,"1,022,284","647,522","32,531","49,825","85,778","60,520","52,427","32,156",(2)
624190,624,Other Individual and Family Services,Social Assistance,"Claude: ""Adoption agencies""",,Deployer,,,"1,022,284","647,522","32,531","49,825","85,778","60,520","52,427","32,156",(2)
711310,711,"Promoters of Performing Arts, Sports, and Similar Events","Performing Arts, Spectator Sports, and Related Industries","Claude: ""Entertainment venues using AI""",,Deployer,,,"97,118","16,051","6,587","6,836","10,793","9,384","9,867","12,305","9,751"
721199,721,All Other Traveler Accommodation,Accommodation,"ChatGPT: ""Short-term rental platforms (Airbnb, Vrbo)"" Grok: ""Hotel and Lodging Platforms (e.g., Airbnb or Booking.com)""",Both,,,Both,"223,313","4,574","7,150","19,831","44,387","29,305","46,556","36,288","25,152"
721310,721,Rooming and Boarding Houses,Accommodation,"ChatGPT: ""Short-term rental platforms (Airbnb, Vrbo)""",Both,,,,"223,313","4,574","7,150","19,831","44,387","29,305","46,556","36,288","25,152"
721110,721,Hotels (except Casino Hotels) and Motels,Accommodation,"Claude: ""Hotels using AI""",,Deployer,,,"223,313","4,574","7,150","19,831","44,387","29,305","46,556","36,288","25,152"
722513,722,Limited-Service Restaurants,Food Services and Drinking Places,"Claude: ""Restaurants using AI""",,Deployer,,,"1,451,769","41,455","114,742","313,199","545,792","256,418","140,457","18,090","13,558"
813311,813,Human Rights Organizations,"Religious, Grantmaking, Civic, Professional, and Similar Organizations","Claude: ""Legal aid organizations""",,Deployer,,,"181,254","19,679","19,434","25,939","36,355","23,716","32,233","10,285",(2)
813319,813,Other Social Advocacy Organizations,"Religious, Grantmaking, Civic, Professional, and Similar Organizations","ChatGPT: ""Civic tech nonprofits using AI for eligibility/GOTV""",Both,,,,"181,254","19,679","19,434","25,939","36,355","23,716","32,233","10,285",(2)
813920,813,Professional Organizations,"Religious, Grantmaking, Civic, Professional, and Similar Organizations","Claude: ""Professional certification bodies""",,Deployer,,,"181,254","19,679","19,434","25,939","36,355","23,716","32,233","10,285",(2)
922140,92,Correctional Institutions,Public Administration,"ChatGPT: ""Private prison contractors with AI monitoring"" Claude: ""Probation departments""",Both,Deployer,,,"2,550,468","15,986","33,269","73,506","304,132","401,971","389,469","234,465","229,947"
923130,92,Administration of Human Resource Programs,Public Administration,"ChatGPT: ""County CPS agencies using ADS tools"" ChatGPT: ""Agencies deploying eligibility-screening systems"" Claude: ""Social services departments"" Claude: ""Unemployment offices"" Claude: ""Child protective services"" Grok: ""Government Benefits Administrators (e.g., Maximus)""",Deployer,Deployer,,Deployer rules,"2,550,468","15,986","33,269","73,506","304,132","401,971","389,469","234,465","229,947"
922150,92,Parole Offices and Probation Offices,Public Administration,"ChatGPT: ""Courts/probation departments deploying ADS""",Deployer,,,,"2,550,468","15,986","33,269","73,506","304,132","401,971","389,469","234,465","229,947"
922130,92,Administration of Justice,Public Administration,"Claude: ""Courts using AI""",,Deployer,,,"2,550,468","15,986","33,269","73,506","304,132","401,971","389,469","234,465","229,947"
925110,92,Administration of Housing Programs,Public Administration,"Claude: ""Public housing authorities""",,Deployer,,,"2,550,468","15,986","33,269","73,506","304,132","401,971","389,469","234,465","229,947"
922110,92,Courts,Public Administration,"ChatGPT: ""Courts/probation departments deploying ADS""",Deployer,,,,"2,550,468","15,986","33,269","73,506","304,132","401,971","389,469","234,465","229,947"
921190,92,Other General Government Support,Public Administration,"ChatGPT: ""State election boards using voter management ADS""",Deployer,,,,"2,550,468","15,986","33,269","73,506","304,132","401,971","389,469","234,465","229,947"
921140,92,Executive and Legislative Offices,Public Administration,"Claude: ""Secretary of State offices"" Claude: ""County election offices""",,Deployer,,,"2,550,468","15,986","33,269","73,506","304,132","401,971","389,469","234,465","229,947"
921130,92,Public Finance Activities,Public Administration,"Claude: ""Tax agencies""",,Deployer,,,"2,550,468","15,986","33,269","73,506","304,132","401,971","389,469","234,465","229,947"
922120,92,Police Protection,Public Administration,"Claude: ""District attorneys' offices""",,Deployer,,,"2,550,468","15,986","33,269","73,506","304,132","401,971","389,469","234,465","229,947"
928120,92,International Affairs,Public Administration,"Claude: ""Immigration services""",,Deployer,,,"2,550,468","15,986","33,269","73,506","304,132","401,971","389,469","234,465","229,947"
