persona,simulation_number,error
Small Business Owner,5,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.5 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Small Business Owner,6,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.5 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Small Business Owner,7,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.5 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Small Business Owner,8,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.5 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Small Business Owner,9,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.5 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Small Business Owner,10,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.5 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Healthcare Administrator,1,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.5 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Healthcare Administrator,2,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.5 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Healthcare Administrator,3,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.5 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Healthcare Administrator,4,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.5 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Healthcare Administrator,5,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.5 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Healthcare Administrator,6,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.5 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Healthcare Administrator,7,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.5 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Healthcare Administrator,8,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.5 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Healthcare Administrator,9,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.5 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Healthcare Administrator,10,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.5 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Financial Services Compliance Manager,1,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.5 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Financial Services Compliance Manager,2,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.5 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Financial Services Compliance Manager,3,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.5 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Financial Services Compliance Manager,4,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.5 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Financial Services Compliance Manager,5,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.5 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Financial Services Compliance Manager,6,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.5 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Financial Services Compliance Manager,7,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.5 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Financial Services Compliance Manager,8,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.5 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Financial Services Compliance Manager,9,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.5 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Financial Services Compliance Manager,10,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.5 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Manufacturing Plant Manager,1,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.5 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Manufacturing Plant Manager,2,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.5 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Manufacturing Plant Manager,3,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.5 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Manufacturing Plant Manager,4,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.5 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Manufacturing Plant Manager,5,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.5 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Manufacturing Plant Manager,6,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.5 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Manufacturing Plant Manager,7,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.5 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Manufacturing Plant Manager,8,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.5 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Manufacturing Plant Manager,9,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.5 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Manufacturing Plant Manager,10,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.5 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Nonprofit Director,1,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.5 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Nonprofit Director,2,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.5 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Nonprofit Director,3,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.5 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Nonprofit Director,4,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.5 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Nonprofit Director,5,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.5 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Nonprofit Director,6,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.5 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Nonprofit Director,7,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.5 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Nonprofit Director,8,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.5 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Nonprofit Director,9,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.5 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Nonprofit Director,10,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.5 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
EdTech Startup Founder,1,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.5 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
EdTech Startup Founder,2,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.5 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
EdTech Startup Founder,3,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.5 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
EdTech Startup Founder,4,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.5 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
EdTech Startup Founder,5,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.5 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
EdTech Startup Founder,6,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.5 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
EdTech Startup Founder,7,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.5 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
EdTech Startup Founder,8,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.5 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
EdTech Startup Founder,9,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.5 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
EdTech Startup Founder,10,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.5 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Government Agency Director,1,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.5 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Government Agency Director,2,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.5 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Government Agency Director,3,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.5 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Government Agency Director,4,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.5 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Government Agency Director,5,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.5 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Government Agency Director,6,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.5 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Government Agency Director,7,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.5 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Government Agency Director,8,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.5 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Government Agency Director,9,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.5 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Government Agency Director,10,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.5 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Pharmaceutical Research Director,1,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.5 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Pharmaceutical Research Director,2,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.5 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Pharmaceutical Research Director,3,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.5 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Pharmaceutical Research Director,4,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.5 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Pharmaceutical Research Director,5,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.5 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Pharmaceutical Research Director,6,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.5 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Pharmaceutical Research Director,7,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.5 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Pharmaceutical Research Director,8,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.5 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Pharmaceutical Research Director,9,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.5 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Pharmaceutical Research Director,10,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.5 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Real Estate Developer,1,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.5 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Real Estate Developer,2,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.5 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Real Estate Developer,3,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.5 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Real Estate Developer,4,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.5 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Real Estate Developer,5,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.5 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Real Estate Developer,6,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.5 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Real Estate Developer,7,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.5 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Real Estate Developer,8,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.5 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Real Estate Developer,9,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.5 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Real Estate Developer,10,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.5 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
E-commerce Platform Manager,1,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.5 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
E-commerce Platform Manager,2,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.5 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
E-commerce Platform Manager,3,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.5 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
E-commerce Platform Manager,4,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.5 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
E-commerce Platform Manager,5,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.5 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
E-commerce Platform Manager,6,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.5 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
E-commerce Platform Manager,7,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.5 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
E-commerce Platform Manager,8,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.5 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
E-commerce Platform Manager,9,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.5 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
E-commerce Platform Manager,10,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.5 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Hospitality Chain Owner,1,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.5 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Hospitality Chain Owner,2,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.5 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Hospitality Chain Owner,3,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.5 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Hospitality Chain Owner,4,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.5 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Hospitality Chain Owner,5,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.5 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Hospitality Chain Owner,6,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.5 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Hospitality Chain Owner,7,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.5 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Hospitality Chain Owner,8,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.5 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Hospitality Chain Owner,9,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.5 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Hospitality Chain Owner,10,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.5 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
